ID,date_time,PlotID,SampleID,Location,Cohort1,Time,Plot,Rep,Stype,Svariety1,Bacteria,Weight,Wash_Vol,V1,CFU1,V2,CFU2,V3,CFU3,Enrich1,Presence1
148,7/17/2018 9:00,NY-C1-S2,NY-C1-24-S2-R3,NY,1,24,2,3,Spinach,Old,Sal,69.5,625.5,100,2,10,0,,,N,
149,7/17/2018 9:00,NY-C1-S2,NY-C1-24-S2-R4,NY,1,24,2,4,Spinach,Old,Sal,61.9,557.1,100,12,10,0,,,N,
150,7/17/2018 9:00,NY-C1-S2,NY-C1-24-S2-R5,NY,1,24,2,5,Spinach,Old,Sal,93.6,842.4,100,186,10,49,,,N,
151,7/17/2018 9:00,NY-C1-S3,NY-C1-24-S3-R1,NY,1,24,3,1,Spinach,New,Sal,43.3,389.7,100,0,10,0,,,Y,N
152,7/17/2018 9:00,NY-C1-S3,NY-C1-24-S3-R2,NY,1,24,3,2,Spinach,New,Sal,38.4,345.6,100,7,10,0,,,N,
153,7/17/2018 9:00,NY-C1-S3,NY-C1-24-S3-R3,NY,1,24,3,3,Spinach,New,Sal,43.9,395.1,100,0,10,0,,,Y,N
154,7/17/2018 9:00,NY-C1-S3,NY-C1-24-S3-R4,NY,1,24,3,4,Spinach,New,Sal,44.9,404.1,100,6,10,1,,,N,
155,7/17/2018 9:00,NY-C1-S3,NY-C1-24-S3-R5,NY,1,24,3,5,Spinach,New,Sal,42,378,100,17,10,6,,,N,
156,7/17/2018 9:00,NY-C1-S4,NY-C1-24-S4-R1,NY,1,24,4,1,Spinach,New,Sal,41.5,373.5,100,3,10,0,,,N,
157,7/17/2018 9:00,NY-C1-S4,NY-C1-24-S4-R2,NY,1,24,4,2,Spinach,New,Sal,47.2,424.8,100,2,10,0,,,N,
158,7/17/2018 9:00,NY-C1-S4,NY-C1-24-S4-R3,NY,1,24,4,3,Spinach,New,Sal,40.3,362.7,100,0,10,0,,,Y,P
159,7/17/2018 9:00,NY-C1-S4,NY-C1-24-S4-R4,NY,1,24,4,4,Spinach,New,Sal,38.8,349.2,100,115,10,1,,,N,
160,7/17/2018 9:00,NY-C1-S4,NY-C1-24-S4-R5,NY,1,24,4,5,Spinach,New,Sal,35.9,323.1,100,1,10,0,,,N,
161,7/18/2018 9:00,NY-C1-S1,NY-C1-48-S1-R1,NY,1,48,1,1,Spinach,Old,EC,27.7,249.3,100,0,10,0,,,Y,N
